Original_query,Entities in query,Expanded query
treatment of migraine headaches with beta blockers and calcium channel blockers,"treatment ,migraine headaches , beta blockers, calcium channel blockers ","migraine headaches beta blockers treatment calcium channel blockers migraine disorder intermittent migraine headache, migraine migraine disorders intermittent migraine headaches adrenergic antagonist beta blockers for alcohol withdrawal beta blockers/related diuretic nebivolol/valsartan atenolol + nifedipine atenolol + bendroflumethiazide adrenergic receptor antagonist diuretics non-selective calcium channel blockers adrenergic antagonists adrenergic beta-antagonists nebivolol / valsartan atenolol / nifedipine atenolol / bendroflumethiazide substance with receptor antagonist mechanism of action (substance affected urine systemic therapeutic treating not poisoning affecting involvement with in urine therapeutic aspects negation poisoning aspects therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment withdrawal - birth control cancer therapeutic procedure biomaterial treatment treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension calcium channel antagonists [moa] "
"prevention, risk factors, pathophysiology of hypothermia","prevention  , risk factors  , pathophysiology , hypothermia ","pathophysiology risk factors hypothermia prevention physiopathological cause due etiology aspects due to functional disorder hypothermia of newborn suffocation complication asphyxia altered level of consciousness stroke no result history of - risk factor family history risk factors finding related risk factor in pregnancy occupational exposure to risk factor encounter hiv risk factor hypothermia, natural hypothermia, ctcae at risk hypothermia o/e - hypothermia intermittent hypothermia consciousness, level altered stroke, ctcae experimental finding related personal status finding related to risk factor in pregnancy healthcare encounter risk factors - observation list answer question risk factor evaluation n+ pt prevention type poison response (statement gdc treatment outcome terminology question (inquiry risk factor assessment n+ (tumor staging gdc prior treatment terminology poison risk codes hypothermia due to exposure accidental hypothermia immersion hypothermia burn electrocution hypothermia, accidental burn injury death by electrocution gastric hypothermia hypothermia, induced treatment of hypothermia anesthetic hypothermia prophylactic treatment accident prevention primary prevention influenza vaccination violence prevention fall prevention shock prevention hiv prevention preventing injury suicide prevention cancer prevention cancer prevention intervention prevention of infection prevention study appropriate anatomy miscellaneous environmental risk factor familial risk factor internal biological deep hypothermia mild hypothermia moderate hypothermia profound hypothermia intent prevention & control anatomy aspects relationships code system type - internal aspect (characteristic prevention aspects "
"chronic inflammatory demyelinating polyneuropathy, differential diagnosis and criteria","chronic inflammatory demyelinating polyneuropathy , differential diagnosis , criteria ","chronic inflammatory demyelinating polyneuropathy differential diagnosis criteria chronic inflammatory demyelinating polyradiculoneuropathy polyradiculoneuropathy, chronic inflammatory demyelinating diagnosis, differential raw airway resistance test data criteria population criteria weiss criteria response assessment in neuro-oncology criteria differential diagnosis:finding:point in time:^patient:nominal data criteria:finding:point in time:^patient:narrative population criteria:finding:point in time:^patient:narrative word term (lexical"
complications of prolonged progesterone,"complications , prolonged , progesterone","complications progesterone prolonged intraoperative complication obstetric labor complication postoperative complication pregnancy complication postmastoidectomy complication tracheostomy complication mechanical complication due to intrauterine contraceptive device cardiac complication respiratory complication gastrointestinal complication urinary complication complication of the puerperium complications of the puerperium neurologic complication complication of implant intrauterine device complication pregnancy, prolonged prolonged labour nos intraoperative complications obstetric labor complications postoperative complications pregnancy complications neurological complication intra-uterine device complication prolonged labor releasing increased prolonged release mechanism of action not result surgery complication aspects release - action (qualifier value negation surgical aspects ethisterone medroxyprogesterone acetate uracil-progesterone progesterone [epc] study duration tis qn menstrual cycle three times weekly every night. onset of menstrual cycle"
"outpatient management of diabetes, standard management of diabetics and any new management techniques","Outpatient , management , diabetes, standard management ,f diabetics , management techniques","diabetes techniques diabetics standard management outpatient non insulin dependent diabetes mellitus noninsulin dependent diabetes mellitus diabetes with ketoacidosis diabetes mellitus, insulin dependent diabetes, lipoatrophic lipoatrophic diabetes diabetic cataract diabetic nephropathy glycosuria, renal pregnancy in diabetic diabetic ophthalmoplegia neonatal diabetes autoimmune diabetes familial generalized lipodystrophy diabetic foot complications of diabetes prediabetes syndrome hollow visceral neuropathy non-diabetic hypoglycemia diabetes mellitus, non-insulin-dependent diabetic ketoacidosis diabetes mellitus, insulin-dependent lipoatrophic diabetes mellitus familial partial lipodystrophy, type 2 cataract due to diabetes mellitus pregnancy in diabetics ophthalmoplegia due to diabetes mellitus neonatal diabetes mellitus diabetes, autoimmune complications of diabetes mellitus screening methods modification not case occupational disease management diet therapy nutritional management control procedure therapeutic aspects of disease screening methods aspects changing responselevel - modification negation case (situation control function procedure (set of actions diabetic urine diabetic on insulin no result find teleconsult-outpatient tb outpatient sti outpatient medical outpatient finding uncontrolled intense intent specified records role aspect (characteristic with intensity specific qualifier value standard (qualifier standard environmental condition query quantity unit - records control aspects true control status generic role administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control service administration occupational activities occupation and employment activity management quality circles services technique, investigative diabetic care fitting home care of patient anger management case management hospital administration management audit management, patient care risk management ambulatory care health services, outpatient consultation visit, outpatient investigative techniques fitting - action agent administration patient care management physical medical procedure case management (procedure ambulatory care services outpatient visits management occupations planning--technique only management technique note pt doc planning techniques only - dosing instruction fragment standard (document cdisc sdtm procedure terminology note (document gdc prior treatment terminology documents outpatients referral category - outpatient outpatient order act mood - intent quantity limited request - records actinformationprivacyreason <service> patient class - outpatient "
mesenteric vasculitis,mesenteric vasculitis,mesenteric vasculitis vasculitis of mesenteric artery 
"diverticulitis, differential diagnosis and management","diverticulitis, differential diagnosis ,management","diverticulitis management differential diagnosis diverticulitis of duodenum diverticulitis of jejunum diverticulitis of ileum diverticulitis of bladder diverticulosis diverticulitis of intestine diverticulitis of colon diverticulitis of sigmoid colon diverticulitis of rectum diverticulitis of rectosigmoid colonic diverticulitis administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles acute disease management anger management case management diet therapy hospital administration management audit management, patient care risk management assessment acute inpatient encounter agent administration patient care management physical medical procedure case management (procedure evaluation procedure write occupations management occupations writing (occupation or discipline diagnosis, differential raw airway resistance test differential diagnosis:finding:point in time:^patient:nominal "
differential diagnosis of elevated alkaline phosphatase and ldh levels,"differential diagnosis , elevated , alkaline phosphatase , ldh ","alkaline phosphatase elevated ldh differential diagnosis germ-cell ap isoenzyme intestine alkaline phosphatase bone alkaline phosphatase leukocyte alkaline phosphatase alkaline phosphatase isoenzyme alkaline phosphatase, placental creatine phosphokinase gammaglutamyltransferase lactate dehydrogenase aspartate aminotransferase alanine aminotransferase alanine amino transferase lactic acid dehydrogenase isoenzyme 5 l-lactate dehydrogenase a chain, human lactate dehydrogenase b lactic dehydrogenase isoenzyme lactate dehydrogenase-k lactate dehydrogenase c4 lactate dehydrogenase 1 lactic acid dehydrogenase isoenzyme 2 lactic acid dehydrogenase isoenzyme 3 lactic acid dehydrogenase isoenzyme 4 alkaline phosphatase isoenzyme, bone fraction alkaline phosphatase isoenzyme -- substance creatine kinase gamma-glutamyl transferase aspartate transaminase alanine transaminase d-alanine transaminase alanine aminotransferase 1, human alkaline phosphatase stain raised decreased increased high reading comprehension correct raw reduced abnormally high differential quality correct (qualifier pt diagnosis, differential positron-emission tomography airway resistance test prothrombin time coagulation tissue factor induced:time:pt:ppp:qn:coag differential diagnosis:finding:point in time:^patient:nominal "
"cystic fibrosis and renal failure, effect of long term repeated use of aminoglycosides","cystic fibrosis , renal failure  , effect , long term , aminoglycosides","aminoglycosides effect cystic fibrosis long term renal failure antibiotics, aminoglycoside other aminoglycosides in atc undetermined initial effect, appearance no effect cohort effect manifestation determination aggravated indeterminate firstly manifestation of determined by exacerbated allergy overdose underdosing of aminoglycosides encounter outcome of therapy encounter due to cystic fibrosis screening family history cystic fibrosis carrier history, nos long-term assistance normal limit long-term drug misuser renal failure, ctcae hypertensive heart failure hypertension abortion hyperalimentation formula for renal failure allergic disposition undetermined finding healthcare encounter carrier of cystic fibrosis (history encounter due to being a cystic fibrosis carrier history of present illness medical history history of previous events normal limits hypertensive (finding heart failure, ctcae hypertension, ctcae unspecified abortion symptom aggravating factors infection, nos nephropathy disorder effects of heat breast fibrocystic disease pulmonary cystic fibrosis cystic fibrosis adult form cystic fibrosis pulmonary exacerbation failure, kidney failure, renal post-renal renal failure renal disease, nos failure, heart hypertensive renal disease hypertensive renal failure renal sclerosis acute kidney failure chronic kidney failure miscarriage postpartum acute renal failure renal failure acute hypotensive familial juvenile gout miscarriage with acute renal failure anemia of chronic renal failure neuropathy in renal failure communicable diseases kidney diseases lung cyst congestive heart failure hypertensive nephropathy nephrosclerosis hypertensive disease kidney failure, acute kidney failure, chronic subsequent following short-term trend initially status post "
"thyrotoxicosis, diagnosis and management","thyrotoxicosis, diagnosis ,management","thyrotoxicosis diagnosis management thyrotoxicosis factitia thyrotoxicosis due to graves' disease hyperthyroidism with hashimoto disease thyrotoxicosis in pregnancy myopathy goitre thyrotoxicosis with toxic single thyroid nodule toxic multinodular goitre hyperthyroidism due to ectopic thyroid nodule thyrotoxicosis of other specified origin thyrotoxic myopathy toxic diffuse goitre abetalipoproteinaemia acromegaly goiter toxic multinodular goiter toxic diffuse goiter abetalipoproteinemia tumor staging diagnostic neoplasm staging diagnosis code iii management technique records procedure roman numeral iii cdisc sdtm procedure terminology induced diagnosis aspect not make occupational disease management diet therapy nutritional management control therapeutic induce (action negation make - instruction imperative therapeutic aspects control function procedure (set of actions diagnosis study administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles acute anger management case management hospital administration management audit management, patient care risk management acute inpatient encounter agent administration patient care management physical medical procedure case management (procedure occupations management occupations "
"portal hypertension and varices, management with tips procedure","portal hypertension , varices, management ,procedure","portal hypertension tips procedure management varices banti's syndrome presinusoidal portal hypertension extrahepatic portal hypertension portal hypertension, noncirrhotic glycosylphosphatidylinositol biosynthesis defect 1 hypertension, pulmonary arterial pulmonary arterial hypertension portal hypertension idiopathic hepatic component schistosomiasis bilharziasis colonic varices without portal hypertension varicosity esophageal varice gastric varix varicocoele ulcer, varicose varicose veins of lower extremity prolapse orbital varix idiopathic pulmonary arterial hypertension hypertensive disease esophageal varices varicocele varicose ulcer ptosis portal hypertension, ctcae history of portal hypertension grade 2 portal hypertension, ctcae grade 3 portal hypertension, ctcae grade 4 portal hypertension, ctcae grade 5 portal hypertension, ctcae no result sublingual sublingual (intended site procedures administration management, pain palliative care therapeutic interventional procedure administration procedure pain management therapeutic procedure rare retinoic acid response element associated with manifestation cystic records control aspect manifestation of query quantity unit - records control aspects true control status aspect (characteristic due to occupational disease management diet therapy nutritional management methods aspects procedure (set of actions therapeutic aspects control function sublingual route of drug administration anger management case management hospital administration management audit management, patient care risk management agent administration patient care management physical medical procedure case management (procedure management technique bladder bladder, nos procedure code procedure domain cdisc sdtm procedure terminology bladder continence question bladder, nos (response management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles occupations management occupations"
"neuroleptic malignant syndrome, differential diagnosis, treatment","neuroleptic malignant syndrome , differential diagnosis , treatment 
","neuroleptic malignant syndrome differential diagnosis treatment neuroleptic malignant syndrome, neuroleptic induced neuroleptic-induced neuroleptic malignant syndrome diagnosis, differential raw airway resistance test differential diagnosis:finding:point in time:^patient:nominal procedure using therapeutic treating not procedure (set of actions use of therapeutic aspects negation therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment interventional procedure cancer therapeutic procedure biomaterial treatment treatment study treatment epoch assessment treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension physical medical procedure evaluation procedure"
"carcinoid tumors of the liver and pancreas, research, treatments","carcinoid tumors, liver , pancreas, research, treatments","research liver carcinoid tumors treatments pancreas research method action research animal experimentation behavioral research biomedical research clinical research evaluation research family research health services research laboratory research nursing research operations research psychical research research and development research design research activities research methodology entire liver appendix rectum distant lymph node tail of pancreas islets langerhan islets of langerhans liver flavor neoplasm, liver carcinoid tumour gastrointestinal carcinoid tumor carcinoid tumour of lung carcinoid tumour of appendix carcinoid tumour of intestine small intestinal carcinoid tumor malignant carcinoid tumour malignant carcinoid tumor benign carcinoid tumour secondary tumor tumour, secondary secondary carcinoid carcinoid tumor of liver tumour of bone tumour of peritoneum malignant carcinoid tumour of small intestine malignant carcinoid tumors benign carcinoid tumor of small intestine benign carcinoid tumors secondary carcinoid tumors, unspecified site malignant carcinoid tumor of the rectum malignant carcinoid tumor of the appendix benign carcinoid tumor of the rectum benign carcinoid tumor of the appendix pancreatic neuroendocrine tumor g1 glucagonoma insulinoma pancreatic neoplasm liver neoplasms carcinoid tumor no icd-o subtype carcinoid tumor of lung carcinoid tumor of appendix carcinoid tumor of intestine carcinoid tumor, malignant atypical carcinoid tumor neoplasm metastasis secondary neoplasm liver neuroendocrine tumor bone neoplasms peritoneal neoplasms malignant carcinoid tumor of small intestine malignant carcinoid tumor of rectum malignant carcinoid tumor of appendix benign carcinoid tumor of rectum benign carcinoid tumor of appendix hepatectomy suture of liver therapeutic procedure behaviour therapy combined modality therapy dental procedure pharmacotherapy electroconvulsive therapy emergency treatment extracorporeal membrane oxygenation inhalation therapy palliative care residential treatment salvage therapy steroid therapy treatment of fever treatment of hypothermia infertility therapy hydrotherapy with whirlpool bath graft, nos pancreas transplantation pancreatectomy behavior therapy dental procedures grafting procedure"
"radiation induced thyroiditis, differential diagnosis, management","radiation ,induced , thyroiditis, differential diagnosis, management","induced management thyroiditis radiation differential diagnosis action procedure drug-induced occupational disease management diet therapy nutritional management control therapeutic viral autoimmune allergic exclude light using induce (action clinical action procedure (set of actions therapeutic aspects control function light color use of administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles anger management case management hospital administration management audit management, patient care risk management acute assessment physical medical procedure agent administration patient care management case management (procedure acute inpatient encounter evaluation procedure write occupations management occupations writing (occupation or discipline induced malaria induced apnoea infection induced suppurative thyroiditis idiopathic atrophic hypothyroidism mumps hashimoto disease dermatitis radiation chimera induced apnea thyroiditis, suppurative radiation chimera disorder electromagnetic radiation alpha particle background radiation beta particle cosmic radiation gamma ray ray, infrared microwave electromagnetic radiation alpha particles alpha radiation gamma rays infrared rays unit of radiation dose pi-meson radiation dosage point in time raw score percent aspect - kind of quantity pi-mesons data type - point in time percent (qualifier value heart arrest, induced induced hyperthermia hypotension, controlled hypothermia, induced induction of labor procedure elective abortion induced abortion abortion, induced induced vasodilatation management, pain palliative care therapeutic radiology procedure radiation ionizing radiotherapy chemoradiation brachytherapy intracavity radiotherapy induced abortion (procedure interventional procedure administration procedure pain management therapeutic procedure chemoradiotherapy radiotherapy research diagnosis, differential airway resistance test differential diagnosis:finding:point in time:^patient:nominal"
"heat exhaustion, management and pathophysiology","heat ,exhaustion, management, pathophysiology","pathophysiology exhaustion management heat physiopathological cause physiological complicating occupational disease management diet therapy nutritional management control procedure therapeutic etiology aspects complicated therapeutic aspects control function procedure (set of actions functional disorder atrophy, exhaustion heat oedema intolerant of heat exhaustion atrophy heat edema extreme exhaustion physical exhaustion mental exhaustion administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles anger management case management hospital administration management audit management, patient care risk management agent administration patient care management physical medical procedure case management (procedure occupations management occupations cold physical force ray, infrared cold temperature heat (physical force infrared rays "
"beta blockers and blacks with hypertension, utility","beta blockers , blacks , hypertension ","blacks hypertension beta blockers black race african american whites african race caucasoid race caucasians infection due to clostridium novyi ckd hypertensive disease secondary hypertension gestational hypertension hypertension+pregnancy diastolic hypertension hypertension, systolic goldblatt hypertension hypertension, malignant portal hypertension hypertension, renal hypertension, renovascular ocular hypertension essential hypertension hypertensive heart disease hypertension, transient hypertension, paroxysmal chronic kidney diseases pregnancy associated hypertension maternal hypertension systolic hypertension hypertension, goldblatt malignant hypertension paroxysmal hypertension black hair black eye papular eruption much creatinine glomerular filtration rate no result hypertension, ctcae hypertension complications pulmonary hypertension intracranial hypertension raised intraocular pressure finding prid combination skin papule creatinine, ctcae glomerular filtration rate, ctcae portal hypertension, ctcae pulmonary hypertension, ctcae raised intraocular pressure (finding experimental finding presence or identity combination - answer to question plasma adrenergic antagonist calcium channel blocker beta blockers for alcohol withdrawal beta blockers/related diuretic nebivolol/valsartan atenolol + nifedipine atenolol + bendroflumethiazide adrenergic receptor antagonist plasma product adrenergic antagonists adrenergic beta-antagonists calcium channel blockers diuretics nebivolol / valsartan atenolol / nifedipine atenolol / bendroflumethiazide substance with receptor antagonist mechanism of action (substance "
complications and management of anorexia and bulimia,"complications , management , anorexia , bulimia","bulimia complications management anorexia bulimia nervosa atypical bulimia nervosa bulimia nervosa, purging type bulimia nervosa, nonpurging type bulimia nervosa in remission self-induced vomiting anorexia nervosa mood anorexia non-organic loss of appetite slimmers disease hysteria atypical anorexia nervosa anorexia nervosa, restricting type conversion disorder intraoperative complication obstetric labor complication postoperative complication pregnancy complication postmastoidectomy complication tracheostomy complication mechanical complication due to intrauterine contraceptive device cardiac complication respiratory complication gastrointestinal complication urinary complication complication of the puerperium complications of the puerperium neurologic complication complication of implant intrauterine device complication intraoperative complications obstetric labor complications postoperative complications pregnancy complications neurological complication intra-uterine device complication using use causes occupational disease management diet therapy nutritional management control procedure therapeutic use of utilization qualifier usage etiology aspects complication aspects therapeutic aspects control function procedure (set of actions administration management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles body weight investigation investigations assist assessment anger management case management hospital administration management audit management, patient care risk management weighing patient evaluation evaluation procedure assisting (procedure agent administration patient care management physical medical procedure case management (procedure occupations management occupations kleine-levin syndrome hyperaldosteronism alkalosis, metabolic measles with complication rubella with complication mumps with complication thyrotoxicosis anorexia in adolescence anorexia in children hypertrichosis in anorexia nervosa metabolic alkalosis complications of rubella hyperorexia normal weight 1+ finding family history of bulimia nervosa bulimia nervosa, susceptibility to childbirth adverse effect due to surgery aggravated anorexia, ctcae h o grade 1 anorexia, ctcae grade 2 anorexia, ctcae grade 3 anorexia, ctcae grade 4 anorexia, ctcae grade 5 anorexia, ctcae loss of appetite (finding normal gait normal immune presence experimental finding birth of child symptom aggravating factors history of - * (non-specific "
"adrenal mass, how to work up",adrenal mass,adrenal mass mass of adrenal gland adrenal gland mass macrophage activation syndrome 
"culture negative endocarditis, organisms, diagnosis, treatment","culture negative endocarditis, organisms, diagnosis, treatment","organisms diagnosis culture negative endocarditis treatment microorganism pathogenic organism organism, aquatic marine organism organisms, transgenic organisms, genetically modified lower organism aquatic organisms marine organisms tumor staging diagnostic neoplasm staging diagnosis code iii cdisc sdtm microorganism terminology roman numeral iii not rare organism diagnosis aspect make therapeutic treating negation rare organisms make - instruction imperative therapeutic aspects diagnosis study treatment study treatment epoch pneumonia, organism unspecified hermaphroditism abetalipoproteinaemia acromegaly pneumonia organism nos abetalipoproteinemia therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment cancer therapeutic procedure biomaterial treatment treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
"aids dementia, workup","aids dementia, workup","aids dementia workup aids dementia complex aids with organic dementia aids with presenile dementia organic dementia associated with aids syndrome, acquired immuno-deficiency acquired immunodeficiency syndrome work-up diagnostic ct angiography diagnosis computed tomography angiography "
infections in renal transplant patients,"infections, renal transplant , patients",patients renal transplant infections renal transplant rejection renal graft failure transplant graft failure kidney transplant failure grafting failure 
theophylline uses--chronic and acute asthma,"Theophylline , chronic , acute asthma","theophylline acute asthma chronic aminophylline oxtriphylline fenethylline theodrenaline theophylline-rutozide theophylline monohydrate ambufylline gu-theophylline ambuphylline mas allergy to theophylline acute exacerbation of allergic asthma acute exacerbation of intrinsic asthma asthma attack other asthma with acute exacerbation childhood asthma exacerbation asthma, unspecified acute severe refractory exacerbation of asthma acute exacerbation of asthma chronic obstructive asthma with asthma, exercise-induced mild intermittent asthma acute exacerbation of mild persistent asthma severe persistent asthma late onset asthma bronchitis tracheitis brain damage, chronic bronchitis, chronic chronic disease chronic hepatitis inflammatory bowel disease polychondritis, relapsing priapism macrophage activation syndrome childhood asthma exacerbations bacterial tracheitis hepatitis, chronic inflammatory bowel diseases idiopathic chronic inflammatory bowel disease qn recurring every night. recurrent "
"recurrent cellulitis, risk factors, management, prophylaxis","recurrent cellulitis  , risk factors  , management  , prophylaxis ","prophylaxis risk factors management recurrent cellulitis prevention & control intent dental antimalarial antifilarial related miscellaneous environmental risk factor familial risk factor internal biological records aspect rare variable antimalarial (disposition antifilarial (disposition relationships code system type - internal query quantity unit - records control aspects true control status aspect (characteristic variable (uniformity prophylactic treatment influenza vaccination anti coagulant dental prophylaxis, adult dental prophylaxis, children prophylactic iron therapy administration management, pain palliative care procedure therapeutic on anti-coagulants administration procedure pain management interventional procedure therapeutic procedure history of - risk factor family history risk factors finding risk factor in pregnancy occupational exposure to risk factor encounter hiv risk factor recurrent infections sinusitis no result experimental finding related personal status finding related to risk factor in pregnancy healthcare encounter sinusitis, ctcae risk factors - observation list answer question risk factor evaluation n+ management technique response (statement gdc treatment outcome terminology question (inquiry risk factor assessment n+ (tumor staging cdisc sdtm procedure terminology study variable management procedure information management occupational activity managing finance quality circle, management office management personnel management pest control administration occupational activities occupation and employment activity management quality circles cancer risk evaluation disease management anger management case management diet therapy hospital administration management audit management, patient care risk management dental health services assessment for risk of cancer patient visit agent administration patient care management physical medical procedure case management (procedure occupations management occupations bacterial endocarditis, subacute leptospirosis tuberculosis tuberculosis risk factor lower limb cellulitis gastroenteritis subacute bacterial endocarditis cellulitis of leg"
cephalosporins and pulmonary infiltrates,"Cephalosporins , pulmonary infiltrates","pulmonary infiltrates cephalosporins pneumonitis grade 1 pneumonitis, ctcae grade 2 pneumonitis, ctcae grade 3 pneumonitis, ctcae grade 4 pneumonitis, ctcae grade 5 pneumonitis, ctcae no result cephalosporin resistance overdose undetermined other, nos radiologic infiltrate of lung undetermined finding other - answer to question other license status performance status scale timing other first generation cephalosporin second generation cephalosporin third generation cephalosporin fourth generation cephalosporin beta-lactam penem beta-lactam antibiotic beta lactam antibiotics cephalosporin product beta-lactams monobactams"
is increased thyoird stimluating hormone associated with sick euthyroid syndrome," increased, thyoird , stimluating , hormone ,associated with sick , euthyroid syndrome","increased thyoird hormone associated with sick euthyroid syndrome stimluating level normal raised disposition gonadotropin morphology associated organism associated substance levels (qualifier value hormone (disposition gonadotropin (disposition result associated condition associated observation associated procedure associated etiology associated function associated disorder associated mechanism gastrointestinal hormone hormones gastrointestinal hormones haemolytic anaemia eosinophilia hyperaldosteronism hyperinsulinism hypertriglyceridemia methemoglobinemia sialorrhoea endocrine system disease euthyroid sick syndrome anemia, hemolytic eosinophilic disorder sialorrhea endocrine system diseases euthyroid sick syndromes "
"lung cancer, radiation therapy","lung cancer, radiation therapy","lung cancer radiation therapy malignant neoplasm of lung carcinoma of lung primary malignant neoplasm of lung bronchioloalveolar adenocarcinoma bronchogenic carcinoma lung carcinoma, non-small-cell squamous cell carcinoma of lung small cell carcinoma of lung adenocarcinoma of lung secondary malignant neoplasm of lung metastatic carcinoma in the lung lymphangitis carcinomatosa adenosquamous cell lung cancer large cell carcinoma of lung carcinoma in situ of lung lung cancer adenocarcinoma malignant epithelial neoplasm of lung non-small cell lung carcinoma adenocarcinoma of lung (disorder radiotherapeutic diagnostic service section id - radiation therapy radiotherapy prevention of lung cancer resection therapeutic radiology procedure cobalt therapy curative radiation therapy @ eye @ beam radiation therapy eye radiation therapy @ skin @ beam radiation radiation therapy @ breast @ beam radiation device insertion insertion device radionuclide therapy infrared radiation therapy brachytherapy intracavity radiotherapy radiotherapy, computer-assisted ultraviolet therapy radiation therapy, lymphatic therapeutic radiation treatment planning, complex removal technique excision cobalt 60 therapy curative - procedure intent therapeutic procedure eye therapy radiation ionizing radiotherapy implantation procedure device implant nos "
surgery vs. percutaneous drainage for lung abscess,"surgery , percutaneous drainage, lung abscess","lung abscess percutaneous drainage surgery abscess of lung pneumonia abscess, lung lung tuberculosis gangrenous pneumonia necrotic pneumonia amebic abscess of lung abscess, brain brain abscess abdomen--abscess plan renal calculus tuberculosis, pulmonary pneumonia, necrotizing amebic lung abscess cerebral abscess abdominal abscess infantile neuroaxonal dystrophy kidney calculi open left perirenal transcatheter percutaneous approach left sided abdominal (qualifier value perinephric transcatheter approach abcess drainage, nos specimen type - abscess body fluid discharge drainage of lung lung resection percutaneous aspiration of gallbladder percutaneous cholecystostomy percutaneous drainage of liver percutaneous drainage of renal lesion abdomen drainage abscess drainage nos guidance for percutaneous drainage percutaneous cholecystotomy for drainage percutaneous transhepatic cholangiodrainage hepatotomy drainage cyst peritoneal drainage percutaneous transhepatic biliary drainage placement drainage of spleen surgical surgical procedure, operative treatment renal surgery alveoloplasty ambulatory surgical procedure cataract extraction eye enucleation procedure gingivoplasty cardiac surgery procedure laminectomy laser surgery surgery, office pharyngostomy psychosurgery repeat surgery facelift open surgical procedure lung excision removal technique percutaneous aspiration of gallbladder for drainage drainage procedure abdominal paracentesis drainage of abscess incision of liver cyst drainage peritoneal drainage procedure implantation procedure operative surgical procedures therapeutic procedure administration procedure kidney operation ambulatory surgical procedures cardiac surgery procedures second look surgery face lift discharge, body substance surgery specialty general surgery specialty colorectal surgery specialty science of neurosurgery orthopaedic orthopedics etiology ultrasonic table cell horizontal align - left etiology aspects planned surgical aspects therapeutic aspects treating "
catamenorrheal anaphylaxis,catamenorrheal anaphylaxis,catamenorrheal anaphylaxis
plasmaphoresis as therapuetic option for guillian- barre syndrome,"plasmaphoresis, therapuetic option, guillian- barre syndrome","therapuetic option plasmaphoresis barre syndrome plan planned influenza immunisation influenza vaccination guillain barré syndrome posterior cervical sympathetic syndrome guillain-barre syndrome, familial miller fisher syndrome acute sensory ataxic neuropathy infantile neuroaxonal dystrophy"
"guillain-barre syndrome, sensitivity and specificity of nerve conduction velocity tests","guillain-barre syndrome, sensitivity,specificity ,nerve conduction velocity tests","nerve conduction velocity tests specificity sensitivity guillain-barre syndrome hypersensitivity intolerant of heat propensity to adverse reactions sequela of guillain barre syndrome diagnostic specificity sensitivity and specificity substrate specificity specificity of measurement statistical sensitivity diagnostic sensitivity personality sensitivity contrast sensitivity no result antimicrobial susceptibility cold intolerance hypesthesia photophobia pain threshold history of guillain barre syndrome guillain-barre syndrome, ctcae grade 1 guillain-barre syndrome, ctcae grade 2 guillain-barre syndrome, ctcae grade 3 guillain-barre syndrome, ctcae grade 4 guillain-barre syndrome, ctcae grade 5 guillain-barre syndrome, ctcae emotional hypersensitivity photophobia, ctcae 5.0 analyte specificity stimulus sensitivity signal sensitivity variant associated associated with increased sensitivy dentine sensitivity sensation disorder food intolerance guillain barré syndrome guillain-barre syndrome, familial miller fisher syndrome acute sensory ataxic neuropathy plan dentin sensitivity sensation disorders food intolerance (disorder disease infantile neuroaxonal dystrophy "
